#shot_number source_coordinate_(x) source_coordinate_(y) source_coordinate_(z) source_type wavelet_type wavelet_shape center_frequency amplitude time_shift
0 20 15 0 1 1 3 5 5 0
1 20 19 0 1 1 3 5 5 0
2 20 23 0 1 1 3 5 5 0
3 20 27 0 1 1 3 5 5 0
4 20 31 0 1 1 3 5 5 0
5 20 35 0 1 1 3 5 5 0
6 20 39 0 1 1 3 5 5 0
7 20 43 0 1 1 3 5 5 0
8 20 47 0 1 1 3 5 5 0
9 20 51 0 1 1 3 5 5 0
10 20 55 0 1 1 3 5 5 0
11 20 59 0 1 1 3 5 5 0
12 20 63 0 1 1 3 5 5 0
13 20 67 0 1 1 3 5 5 0
14 20 71 0 1 1 3 5 5 0
15 20 75 0 1 1 3 5 5 0
16 20 79 0 1 1 3 5 5 0
17 20 83 0 1 1 3 5 5 0
