##index_x index_y index_z receiver_type
50 2 0 3
55 2 0 3
60 2 0 3
65 2 0 3
70 2 0 3
75 2 0 3
80 2 0 3
85 2 0 3
90 2 0 3
95 2 0 3
100 2 0 3
105 2 0 3
110 2 0 3
115 2 0 3
120 2 0 3
125 2 0 3
130 2 0 3
135 2 0 3
140 2 0 3
145 2 0 3
150 2 0 3
155 2 0 3
160 2 0 3
165 2 0 3
170 2 0 3
175 2 0 3
180 2 0 3
185 2 0 3
190 2 0 3
195 2 0 3
200 2 0 3
205 2 0 3
210 2 0 3
215 2 0 3
220 2 0 3
225 2 0 3
230 2 0 3
235 2 0 3
240 2 0 3
245 2 0 3
250 2 0 3
255 2 0 3
260 2 0 3
265 2 0 3
270 2 0 3
275 2 0 3
280 2 0 3
285 2 0 3
290 2 0 3
295 2 0 3
300 2 0 3
305 2 0 3
310 2 0 3
315 2 0 3
320 2 0 3
325 2 0 3
330 2 0 3
335 2 0 3
340 2 0 3
345 2 0 3
350 2 0 3
355 2 0 3
360 2 0 3
365 2 0 3
370 2 0 3
375 2 0 3
380 2 0 3
385 2 0 3
390 2 0 3
395 2 0 3
400 2 0 3
405 2 0 3
410 2 0 3
415 2 0 3
420 2 0 3
425 2 0 3
430 2 0 3
435 2 0 3
440 2 0 3
445 2 0 3
450 2 0 3
455 2 0 3
460 2 0 3
465 2 0 3
470 2 0 3
475 2 0 3
480 2 0 3
