##index_x index_y index_z receiver_type
50 18 0 1
55 18 0 1
60 18 0 1
65 18 0 1
70 18 0 1
75 18 0 1
80 18 0 1
85 18 0 1
90 18 0 1
95 18 0 1
100 18 0 1
105 18 0 1
110 18 0 1
115 18 0 1
120 18 0 1
125 18 0 1
130 18 0 1
135 18 0 1
140 18 0 1
145 18 0 1
150 18 0 1
155 18 0 1
160 18 0 1
165 18 0 1
170 18 0 1
175 18 0 1
180 18 0 1
185 18 0 1
190 18 0 1
195 18 0 1
200 18 0 1
205 18 0 1
210 18 0 1
215 18 0 1
220 18 0 1
225 18 0 1
230 18 0 1
235 18 0 1
240 18 0 1
245 18 0 1
250 18 0 1
255 18 0 1
260 18 0 1
265 18 0 1
270 18 0 1
275 18 0 1
280 18 0 1
285 18 0 1
290 18 0 1
295 18 0 1
300 18 0 1
305 18 0 1
310 18 0 1
315 18 0 1
320 18 0 1
325 18 0 1
330 18 0 1
335 18 0 1
340 18 0 1
345 18 0 1
350 18 0 1
355 18 0 1
360 18 0 1
365 18 0 1
370 18 0 1
375 18 0 1
380 18 0 1
385 18 0 1
390 18 0 1
395 18 0 1
400 18 0 1
405 18 0 1
410 18 0 1
415 18 0 1
420 18 0 1
425 18 0 1
430 18 0 1
435 18 0 1
440 18 0 1
445 18 0 1
450 18 0 1
455 18 0 1
460 18 0 1
465 18 0 1
470 18 0 1
475 18 0 1
480 18 0 1
