#shot_number source_coordinate_(x) source_coordinate_(y) source_coordinate_(z) source_type wavelet_type wavelet_shape center_frequency amplitude time_shift
0 15 20 0 1 1 1 5 5 0
1 19 20 0 1 1 1 5 5 0
2 23 20 0 1 1 1 5 5 0
3 27 20 0 1 1 1 5 5 0
4 31 20 0 1 1 1 5 5 0
5 35 20 0 1 1 1 5 5 0
6 39 20 0 1 1 1 5 5 0
7 43 20 0 1 1 1 5 5 0
8 47 20 0 1 1 1 5 5 0
9 51 20 0 1 1 1 5 5 0
10 55 20 0 1 1 1 5 5 0
11 59 20 0 1 1 1 5 5 0
12 63 20 0 1 1 1 5 5 0
13 67 20 0 1 1 1 5 5 0
14 71 20 0 1 1 1 5 5 0
15 75 20 0 1 1 1 5 5 0
16 79 20 0 1 1 1 5 5 0
17 83 20 0 1 1 1 5 5 0
